team,logo
LIU Brooklyn,https://a.espncdn.com/i/teamlogos/ncaa/500/2341.png
Long Beach State,https://a.espncdn.com/i/teamlogos/ncaa/500/299.png
Long Island University,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png
Longwood,https://a.espncdn.com/i/teamlogos/ncaa/500/2344.png
Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png
Louisiana Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Louisville,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Loyola (MD),https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png
Loyola Chicago,https://a.espncdn.com/i/teamlogos/ncaa/500/2350.png
Loyola Marymount,https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png
LSU,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Madonna University,
Maine,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png
Manhattan,https://a.espncdn.com/i/teamlogos/ncaa/500/2363.png
Marist,https://a.espncdn.com/i/teamlogos/ncaa/500/2368.png
Marquette,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png
Marshall,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png
Maryland,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Maryland-Eastern Shore,https://a.espncdn.com/i/teamlogos/ncaa/500/2379.png
McNeese,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png
Memphis,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Mercer,https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png
Merrimack,https://a.espncdn.com/i/teamlogos/ncaa/500/2771.png
Miami,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
Miami (OH),https://a.espncdn.com/i/teamlogos/ncaa/500/193.png
Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Michigan State,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Middle Tennessee,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
