team,year,conf_wins,conf_losses,wins,losses,major_wins,major_losses,mid_major_wins,mid_major_losses,o_reb_rate,d_reb_rate,off_rating,def_rating,net_rating,sos_off,sos_def,sos_net,to_rate_off,to_rate_def,steal_rate,opp_steal_rate,pace,ftf,ftf_opp,conference,conf_avg_net,At-Large,DNQ,prob,max_prob,projected_champ,desc,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,pred_seed,rank
San Diego State,2014,11,2,20,3,4,1,12,2,0.3730074388947928,0.6985138004246284,110.35308198683424,88.03827751196172,22.314804474872503,106.0680642108986,103.68892384632174,-2.3791403645768745,0.1552956465237167,0.21623376623376625,0.11760883690708251,0.07142857142857142,63.79274611398964,0.2972572275759822,0.18788343558282208,Mountain West,7.636550372028059,0.42,0.58,0.34,0.34,1,In,0.058,0.062,0.01,0.144,0.032,0.064,0.042,0.042,0.032,0.022,0.076,0.212,0.054,0.058,0.058,0.034,12,45
Louisville,2014,13,2,23,4,0,2,14,2,0.37106299212598426,0.6706114398422091,120.5651491365777,90.3513371788149,30.2138119577628,104.0458759290468,104.54106256152248,0.4951866324756184,0.15076560659599528,0.2570921985815603,0.14664310954063603,0.06323877068557919,67.92,0.2553050397877984,0.2647058823529412,American,7.1275297157121935,0.482,0.518,0.53,0.53,1,In,0.04,0.09,0.008,0.15,0.062,0.04,0.054,0.054,0.026,0.056,0.07,0.162,0.094,0.064,0.026,0.004,12,46
Louisiana Tech,2014,11,3,22,6,1,1,1,1,0.34177215189873417,0.705186533212011,114.066985645933,91.48732663797226,22.579659007960743,105.93600999281075,104.7547893361491,-1.1812206566616503,0.1586810922205049,0.23271413828689372,0.13137557959814528,0.0804953560371517,71.55760368663594,0.2747187685020722,0.2618110236220472,C-USA,2.2479092995274916,0.056,0.944,0.52,0.52,1,In,0.018,0.012,0,0.022,0.018,0.026,0.018,0.044,0.008,0.01,0.036,0.29,0.158,0.216,0.086,0.038,12,47
Harvard,2014,9,1,21,4,2,1,1,1,0.33726415094339623,0.6985040276179517,111.77514792899407,92.95441089402011,18.820737034973945,106.1477789264894,102.84808674736418,-3.2996921791252385,0.17041420118343195,0.2294887039239001,0.12366863905325444,0.08382877526753864,63.77358490566038,0.34657039711191334,0.24758364312267656,Ivy,2.1002452261621496,0.172,0.828,0.72,0.72,1,In,0.016,0.006,0.004,0.012,0.012,0.074,0.01,0.018,0.02,0.006,0.026,0.454,0.078,0.12,0.094,0.05,12,48
Green Bay,2014,13,2,20,5,1,1,1,1,0.34891304347826085,0.6796577946768061,111.35881104033972,94.42970822281168,16.929102817528047,104.7847886643692,102.33948059830378,-2.4453080660654187,0.18061926605504589,0.20709382151029748,0.10894495412844037,0.08638443935926773,66.75598086124401,0.3127171646977067,0.22687373396353816,Horizon,3.940416487190989,0.044,0.956,0.5,0.5,1,In,0.012,0,0,0.006,0.006,0.01,0.012,0.028,0.002,0,0.022,0.346,0.202,0.104,0.152,0.098,12,49
Stephen F. Austin,2014,13,0,22,2,0,1,0,0,0.3812566560170394,0.7095990279465371,115.71506253398589,94.83695652173914,20.878106012246732,107.2975891405546,101.1773656045548,-6.120223535999832,0.17200674536256325,0.2580101180438449,0.12085441259134344,0.07982012366498033,65.5852534562212,0.2784237726098191,0.35771065182829886,Southland,-2.0953885403788193,0.09,0.91,0.64,0.64,1,In,0.008,0.004,0,0.004,0.002,0.02,0.006,0.006,0,0.002,0.006,0.472,0.056,0.264,0.122,0.028,12,50
North Dakota State,2014,11,2,19,6,1,1,2,1,0.3265060240963855,0.7322834645669292,119.07931225734887,102.88728484175458,16.192027415594296,107.69546928338276,105.99761342495503,-1.6978558584276904,0.15831894070236038,0.1886141460609546,0.10592976396085205,0.08338125359401956,64.33333333333334,0.3012295081967213,0.3004996431120628,Summit,3.548503813080341,0.07,0.93,0.73,0.73,1,In,0,0.004,0,0,0.012,0.004,0.016,0,0,0.008,0.036,0.482,0.164,0.116,0.104,0.054,12,51
Saint Louis,2014,12,1,24,3,1,1,15,2,0.3005181347150259,0.7141472868217055,105.69755058572947,89.30651138168344,16.391039204046052,104.29236116076255,103.7446268119078,-0.5477343488547527,0.18488529014844804,0.22446236559139784,0.11605937921727397,0.10752688172043012,67.36363636363636,0.3102310231023102,0.27303754266211605,A 10,4.771124008798243,0.482,0.518,0.4,0.4,1,In,0.014,0.034,0.01,0.036,0.178,0.032,0.028,0.064,0.04,0.026,0.072,0.154,0.194,0.044,0.054,0.02,13,52
Georgia State,2014,14,1,19,7,0,2,0,0,0.2595505617977528,0.6530194472876152,118.68605277329026,104.92424242424244,13.76181034904782,106.35993016551342,105.8203965078193,-0.5395336576941483,0.11940298507462686,0.21158854166666663,0.12264763140817651,0.06315104166666667,66.27956989247312,0.32036613272311215,0.25758754863813227,Sun Belt,0.8191040249335856,0.074,0.926,0.57,0.57,1,In,0.006,0.002,0,0.002,0.016,0.006,0.018,0.002,0.004,0.002,0.014,0.112,0.294,0.222,0.176,0.124,13,53
UC Santa Barbara,2014,9,4,16,8,1,2,2,2,0.3196125907990315,0.6894736842105263,113.49878934624698,102.64900662251657,10.849782723730428,104.19970363657606,105.2350045678435,1.03530093126743,0.17433414043583534,0.17098133654425046,0.08171912832929783,0.07525586995785671,62.63507109004739,0.2960812772133527,0.2640449438202247,Big West,0.6071282743991984,0.03,0.97,0.34,0.34,1,In,0.004,0,0.002,0.016,0.002,0.016,0.034,0.028,0.038,0.03,0.062,0.084,0.338,0.106,0.13,0.11,13,54
