game_id,team,pace
400547095,North Carolina,69.5
400547098,Florida,74
400547098,Dayton,76
400547074,Pennsylvania,67
400547074,Texas,68.5
400548503,IUPUI,75
400548503,Northwestern,75
400548501,Creighton,68
400548501,South Dakota State,67
400548466,Maine,66
400548466,Fairfield,62
400548708,Stetson,72
400548708,South Florida,71
400547495,George Washington,72.5
400547495,Villanova,70
400547078,Georgia Tech,86
400547078,LSU,75.66666666666666
400547097,Wichita State,61
400547097,Penn State,68.66666666666666
400547092,Hampton,84
400547092,Michigan State,79.5
400547075,Army,66
400547075,Maryland,73
400548499,Southern Utah,73
400548499,Colorado,71.5
400548495,Boise State,69
400548495,Stephen F. Austin,72
400548496,Northern Kentucky,80
400548496,Charleston,79.5
400548502,Marquette,67
400548502,Indiana,68.33333333333333
400547099,South Dakota,66
400547099,Stanford,66
400547107,Western Kentucky,67
400547107,Baylor,72.5
400547067,BYU,68.33333333333333
400547067,NC State,69
400547076,USC,72
400547076,St. John's,71
400547096,Florida State,67
400547096,Iowa State,72
400547073,Northwestern State,65
400547073,Tennessee,68.33333333333333
400547066,Fresno State,72
400547066,Nebraska,72.5
400547104,Fordham,64
400547104,California,66
400547102,Akron,70
400547102,Purdue,73
400547106,Chattanooga,61
400547106,Syracuse,66.5
400547100,Robert Morris,64
400547100,Notre Dame,72.83333333333333
400547069,Oklahoma,79
400547069,DePaul,74.33333333333334
400547072,Winthrop,68
400547072,Duke,68.5
400547105,Wright State,89
400547105,Kentucky,77.33333333333333
400547103,Florida Gulf Coast,66.66666666666667
400547103,Oklahoma State,72
400547101,Arizona State,67.5
400547101,Vanderbilt,57
400547139,Hawai'i,72
400547139,Washington,77.75
400547141,Arkansas State,73
400547141,UTEP,69.5
400547140,CSU Bakersfield,68
400547140,Saint Mary's,69
400547156,North Carolina A&T,59
400547156,South Florida,69.80000000000001
400547119,Charlotte,72
400547119,St. Bonaventure,70
400547115,Mount St. Mary's,74
400547115,Duquesne,70.5
400547114,Stony Brook,68
400547114,Michigan,65
400547142,Boise State,69
400547142,Grand Canyon,68
400547136,Pacific,88
400547136,Oregon,87
400547138,Southern Utah,71
400547138,Colorado State,69
400547137,Cal Poly,69
400547137,San Diego,70.66666666666666
400547143,Texas State,64
400547143,Stephen F. Austin,70.25
400547130,Lamar,71
400547130,Southern Miss,71.11111111111111
400547129,Ball State,69
400547129,Northwestern,73
400547128,Tulane,70
400547128,Mississippi State,71.52941176470588
400547123,Missouri,64
400547123,Creighton,65.5
400547120,Butler,78
400547120,South Dakota State,69
400547118,Texas Southern,77
400547118,SMU,74
400547125,Marquette,67.5
400547125,Indiana State,65
400547145,McNeese,68
400547145,Northern Kentucky,72.5
400547144,South Carolina Upstate,82
400547144,Charleston,80.33333333333333
400547157,Stetson,75.5
400547157,Miami,81
400547154,Navy,59
400547154,Old Dominion,67.5
400547132,Furman,75
400547132,Auburn,73.66666666666666
400547131,IUPUI,74.5
400547131,Central Michigan,68
400547127,Belmont,61
400547127,Indiana,66
400547126,American University,68
400547126,Seton Hall,69.84615384615384
400547124,VCU,77
400547124,Princeton,72
400547122,Delaware,67
