id,tournament_id
400505408,NA
400505407,NA
400508507,NA
400508886,NA
400508889,NA
400508508,NA
400508509,NA
400511297,NA
400512841,NA
400512476,NA
400512396,NA
400512350,NA
400511766,NA
400511159,NA
400511158,NA
400511157,NA
400510414,NA
400510413,NA
400508888,NA
400508883,NA
400508506,NA
400512554,NA
400510224,NA
400509548,NA
400508885,NA
400508884,NA
400511156,NA
400510614,NA
400505933,NA
400512234,NA
400505932,NA
400512082,NA
400515368,NA
400512426,NA
400509546,NA
400503817,NA
400503816,NA
400510223,NA
400504901,NA
400512235,NA
400511617,NA
400511502,NA
400511501,NA
400509206,NA
400505931,NA
400504902,NA
400512579,NA
400504898,NA
400510967,NA
400503818,NA
400512231,NA
400511500,NA
400511499,NA
400510908,NA
400510830,NA
400510870,NA
400505261,NA
400511012,NA
400511196,NA
400512437,NA
400511616,NA
400511615,NA
400511614,NA
400511241,NA
400511231,NA
400511180,NA
400510829,NA
400509710,NA
400507906,NA
400507600,NA
400507599,NA
400505930,NA
400505263,NA
400505090,NA
400510710,NA
400505091,NA
400510890,NA
400515360,NA
400512586,NA
400512537,NA
400511613,NA
400511261,NA
400510931,NA
400510828,NA
400510827,NA
400510826,NA
400510709,NA
400510708,NA
400510707,NA
400510412,NA
400510411,NA
400509709,NA
400509708,NA
400509707,NA
400509204,NA
400507905,NA
400507904,NA
400507598,NA
400509931,NA
400512236,NA
400512233,NA
400511400,NA
400510957,NA
400510222,NA
400509706,NA
400507597,NA
400507596,NA
400505089,NA
400504900,NA
400504899,NA
400512864,NA
400512494,NA
400512379,NA
400512333,NA
400512294,NA
400512275,NA
400512232,NA
400511748,NA
400511698,NA
400511660,NA
400511418,NA
400510410,NA
400510221,NA
400509547,NA
400509545,NA
400509396,NA
400509395,NA
400509394,NA
400509205,NA
400509203,NA
400507595,NA
400505262,NA
400505260,NA
400505088,NA
400512612,NA
400510547,NA
400511648,NA
400511337,NA
400511316,NA
400509393,NA
400509202,NA
400505087,NA
400503815,NA
400512823,NA
400510220,NA
400509880,NA
400509881,NA
400509879,NA
400509883,NA
400509878,NA
400509882,NA
400505405,NA
400505404,NA
400511792,NA
400511728,NA
400505406,NA
400505403,NA
400511498,NA
400511497,NA
400511496,NA
400511495,NA
400510409,NA
400510408,NA
400511230,NA
400511179,NA
400507901,NA
400505929,NA
400505928,NA
400505927,NA
400505926,NA
400510589,NA
400511260,NA
400509705,NA
400509704,NA
400509703,NA
400509702,NA
400507903,NA
400507902,NA
400508882,NA
400510602,NA
400512230,NA
400509701,NA
400508505,NA
400508504,NA
400507900,NA
400505259,NA
400505258,NA
400508880,NA
400508503,NA
400510613,NA
400508500,NA
400508499,NA
400510630,NA
400508502,NA
400511155,NA
400511154,NA
400511153,NA
400511152,NA
400510407,NA
400510406,NA
400509201,NA
400509200,NA
400509199,NA
400509198,NA
400509197,NA
400508881,NA
400508877,NA
400508876,NA
400508501,NA
400505086,NA
400505085,NA
400508879,NA
400508878,NA
400507594,NA
400510405,NA
400505084,NA
400505083,NA
400512363,NA
400511612,NA
400511611,NA
400511215,NA
400511610,NA
400511609,NA
400511608,NA
400510889,NA
400503813,NA
400512863,NA
400512229,NA
400512228,NA
400512227,NA
400512226,NA
400510966,NA
400510946,NA
400503814,NA
400503812,NA
400511011,NA
400511050,NA
400503811,NA
400528694,NA
400512857,NA
400512840,NA
400512553,NA
400512480,NA
400512465,NA
400512448,NA
400512313,NA
400512293,NA
400512225,NA
400510930,NA
400510907,NA
400510529,NA
400510404,NA
400510219,NA
400510218,NA
400510217,NA
400510216,NA
400510215,NA
400509392,NA
400509391,NA
400509390,NA
400509389,NA
400512224,NA
400512332,NA
400512578,NA
400509543,NA
400509542,NA
