id,tournamentId
310540103,NA
310540059,NA
310540048,NA
310540045,NA
310540042,NA
310540130,NA
310532547,NA
310530254,NA
310530304,NA
310530164,NA
310530238,NA
310532565,NA
310530235,NA
310530135,NA
310532277,NA
310532287,NA
310530251,NA
310532572,NA
310532460,NA
310530139,NA
310532127,NA
310530194,NA
310532752,NA
310532579,NA
310530324,NA
310530160,NA
310530154,NA
310522458,NA
310522305,NA
310522640,NA
310522582,NA
310522415,NA
310522016,NA
310522261,NA
310520047,NA
310522739,NA
310522569,NA
310522443,NA
310522428,NA
310522154,NA
310520526,NA
310520222,NA
310522711,NA
310522504,NA
310522430,NA
310520236,NA
310520232,NA
310522638,NA
310510025,NA
310510150,NA
310510275,NA
310510294,NA
310510120,NA
310510218,NA
310512454,NA
310512390,NA
310512172,NA
310512066,NA
310510257,NA
310512329,NA
310512142,NA
310510233,NA
310510044,NA
310512509,NA
310510099,NA
310510295,NA
310500299,NA
310500024,NA
310502540,NA
310500331,NA
310500278,NA
310500013,NA
310500167,NA
310502638,NA
310500147,NA
310500197,NA
310502608,NA
310503084,NA
310502635,NA
310502504,NA
310500292,NA
310500269,NA
310500127,NA
310502653,NA
310502546,NA
310502501,NA
310502057,NA
310500249,NA
310500166,NA
310502320,NA
310502181,NA
310500309,NA
310502752,NA
310502710,NA
310502655,NA
310502250,NA
310502210,NA
310500242,NA
310500239,NA
310500198,NA
310500139,NA
310500093,NA
310502506,NA
310502368,NA
310500288,NA
310502378,NA
310502754,NA
310502502,NA
310500058,NA
310502747,NA
310502737,NA
310502729,NA
310502649,NA
310502561,NA
310502507,NA
310502460,NA
310502405,NA
310502325,NA
310502272,NA
310502229,NA
310502084,NA
310502006,NA
310500350,NA
310500333,NA
310500290,NA
310500172,NA
310500171,NA
310500161,NA
310500119,NA
310500116,NA
310500085,NA
310500084,NA
310500043,NA
310500036,NA
310502296,NA
310500012,NA
310502473,NA
310502261,NA
310502016,NA
310500304,NA
310500225,NA
310500005,NA
310502640,NA
310502617,NA
310502582,NA
310500526,NA
310502440,NA
310502674,NA
310502572,NA
310502535,NA
310502110,NA
310500302,NA
310500232,NA
310502628,NA
310502569,NA
310502447,NA
310502428,NA
310502377,NA
310502294,NA
310502199,NA
310502154,NA
310500047,NA
310500183,NA
310500002,NA
310500153,NA
310500096,NA
310502870,NA
310502634,NA
310502545,NA
310502520,NA
310502483,NA
310502459,NA
310502415,NA
310502348,NA
310502306,NA
310502031,NA
310502115,NA
310500079,NA
310502630,NA
310502567,NA
310502350,NA
310502335,NA
310502426,NA
310502305,NA
310502005,NA
310502803,NA
310502717,NA
310502711,NA
310502619,NA
310502427,NA
310502344,NA
310500315,NA
310500227,NA
310500104,NA
310500082,NA
310500009,NA
310500066,NA
310500158,NA
310500344,NA
310500282,NA
310500277,NA
310502633,NA
310502217,NA
310500258,NA
310500154,NA
310502599,NA
310500305,NA
310502681,NA
310502168,NA
310500256,NA
310502750,NA
310490023,NA
310490097,NA
310492182,NA
310490294,NA
310492724,NA
310492454,NA
310490225,NA
310490172,NA
310490171,NA
310490043,NA
310480025,NA
310480024,NA
310483084,NA
310482507,NA
310482501,NA
310482250,NA
310482172,NA
310480099,NA
310480077,NA
310482653,NA
310482277,NA
310480012,NA
310480249,NA
310480009,NA
310480309,NA
310482710,NA
310482443,NA
310482130,NA
310482057,NA
310482031,NA
310480288,NA
310482405,NA
310480056,NA
310480218,NA
310482870,NA
310482803,NA
310482681,NA
310482643,NA
310482542,NA
310482473,NA
310482115,NA
310482026,NA
310480324,NA
310480213,NA
310480161,NA
310480152,NA
310480116,NA
310480085,NA
310472351,NA
310470301,NA
310470021,NA
310472540,NA
310470299,NA
310472934,NA
310470279,NA
310470013,NA
310472692,NA
310470149,NA
310470251,NA
310470328,NA
310470254,NA
310470201,NA
310472464,NA
310470356,NA
310470202,NA
310470156,NA
310470079,NA
310470245,NA
310472655,NA
